Label,Position,CG,Class,Number,Verb,Group,Sentence,Sagen,Given,Answer,Claim,Question
Rating,V2,NEW,V2-NEW ,13,mir erzahlen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Fredrik</font> und  <font color=""blue"">Andreas</font>. ","Du h&ouml;rst  <font color=""green"">Fredrik</font> sagen:",Wie ist der neue Wagen?,"<font color=""blue"">Andreas</font> antwortet:","<i> Lukas hat mir erz&auml;hlt, der neue Wagen ist langsam.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW  ,13,mir erzahlen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Fredrik</font> und  <font color=""blue"">Andreas</font>. ","Du h&ouml;rst  <font color=""green"">Fredrik</font> sagen:",Wie ist der neue Wagen?,"<font color=""blue"">Andreas</font> antwortet:","<i> Lukas hat mir erz&auml;hlt, dass der neue Wagen langsam ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,13,mir erzahlen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Fredrik</font> und  <font color=""blue"">Andreas</font>. ","Du h&ouml;rst  <font color=""green"">Fredrik</font> sagen:","Der neue Wagen is langsam, habe ich geh&ouml;rt.","<font color=""blue"">Andreas</font> antwortet:","<i> Ich auch. Lukas hat mir erz&auml;hlt, der neue Wagen ist langsam.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,13,mir erzahlen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Fredrik</font> und  <font color=""blue"">Andreas</font>. ","Du h&ouml;rst  <font color=""green"">Fredrik</font> sagen:","Der neue Wagen is langsam, habe ich geh&ouml;rt.","<font color=""blue"">Andreas</font> antwortet:","<i> Ich auch. Lukas hat mir erz&auml;hlt, dass der neue Wagen langsam ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,14,sagen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Frans</font> und  <font color=""blue"">Anders</font>. ","Du h&ouml;rst  <font color=""green"">Frans</font> sagen:",Wie endete das Turnier?,"<font color=""blue"">Anders</font> antwortet:","<i> Lo hat mir gesagt, Mel ist die Gewinnerin des Turniers.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,14,sagen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Frans</font> und  <font color=""blue"">Anders</font>. ","Du h&ouml;rst  <font color=""green"">Frans</font> sagen:",Wie endete das Turnier?,"<font color=""blue"">Anders</font> antwortet:","<i> Lo hat mir gesagt, dass Mel die Gewinnerin des Turniers ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,14,sagen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Frans</font> und  <font color=""blue"">Anders</font>. ","Du h&ouml;rst  <font color=""green"">Frans</font> sagen:","Mel hat den Turnier gewonnen, h&ouml;rte ich.","<font color=""blue"">Anders</font> antwortet:","<i> Lo hat mir gesagt, Mel ist die Gewinnerin des Turniers.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,14,sagen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Frans</font> und  <font color=""blue"">Anders</font>. ","Du h&ouml;rst  <font color=""green"">Frans</font> sagen:","Mel hat den Turnier gewonnen, h&ouml;rte ich.","<font color=""blue"">Anders</font> antwortet:","<i> Lo hat mir gesagt, dass Mel die Gewinnerin des Turniers ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW  ,15,mir erzahlen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Karl</font> und  <font color=""blue"">Ellinor</font>. ","Du h&ouml;rst  <font color=""green"">Karl</font> sagen:",Weisst du etwas &uuml;ber Jon's neue Freundin?,"<font color=""blue"">Ellinor</font> antwortet:","<i>  Ein bisschen. Niklas hat mir erz&auml;hlt, Jons neue Freundin ist sehr nett.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW  ,15,mir erzahlen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Karl</font> und  <font color=""blue"">Ellinor</font>. ","Du h&ouml;rst  <font color=""green"">Karl</font> sagen:",Weisst du etwas &uuml;ber Jon's neue Freundin?,"<font color=""blue"">Ellinor</font> antwortet:","<i>  Ein bisschen. Niklas hat mir erz&auml;hlt, dass Jons neue Freundin sehr nett ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,15,mir erzahlen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Karl</font> und  <font color=""blue"">Ellinor</font>. ","Du h&ouml;rst  <font color=""green"">Karl</font> sagen:","Jons neue Freundin is sehr nett, finde ich. ","<font color=""blue"">Ellinor</font> antwortet:","<i> Ach so. Niklas hat mir erz&auml;hlt, Jons neue Freundin ist sehr nett.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,15,mir erzahlen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Karl</font> und  <font color=""blue"">Ellinor</font>. ","Du h&ouml;rst  <font color=""green"">Karl</font> sagen:","Jons neue Freundin is sehr nett, finde ich. ","<font color=""blue"">Ellinor</font> antwortet:","<i> Ach so. Niklas hat mir erz&auml;hlt, dass Jons neue Freundin sehr nett ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
Rating,V2,NEW,V2-NEW ,16,mir erzahlen,D,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Ester</font> und  <font color=""blue"">Ali</font>. ","Du h&ouml;rst  <font color=""green"">Ester</font> sagen:",Einige informationen &uuml;ber den neue Lehrer?,"<font color=""blue"">Ali</font> antwortet:","<i> Ach ja, Leon hat mir erz&auml;hlt, der neue Lehrer ist streng </i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,NEW,VF-NEW ,16,mir erzahlen,A,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Ester</font> und  <font color=""blue"">Ali</font>. ","Du h&ouml;rst  <font color=""green"">Ester</font> sagen:",Einige informationen &uuml;ber den neue Lehrer?,"<font color=""blue"">Ali</font> antwortet:","<i> Ach ja, Leon hat mir erz&auml;hlt, dass der neue Lehrer streng ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,V2,GIVEN,V2-GIV ,16,mir erzahlen,B,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Ester</font> und  <font color=""blue"">Ali</font>. ","Du h&ouml;rst  <font color=""green"">Ester</font> sagen:","Der neue Lehrer ist streng, es scheint. Schade…","<font color=""blue"">Ali</font> antwortet:","<i> Ach ja, Leon hat mir erz&auml;hlt, der neue Lehrer ist streng.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,VF,GIVEN,VF-GIV ,16,mir erzahlen,C,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Ester</font> und  <font color=""blue"">Ali</font>. ","Du h&ouml;rst  <font color=""green"">Ester</font> sagen:","Der neue Lehrer ist streng, es scheint. Schade…","<font color=""blue"">Ali</font> antwortet:","<i> Ach ja, Leon hat mir erz&auml;hlt, dass der neue Lehrer streng ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
,,,,,,,,,,,,
,,,,,,,,,,,,
Rating,,,Filler,17,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Jack</font> und  <font color=""blue"">Charlie</font>. ","Du h&ouml;rst  <font color=""green"">Jack</font> sagen:",Wie geht's Ivars Tochter in der Schule?,"<font color=""blue"">Charlie</font> antwortet:","<i> Keine Ahnung, weil Ivar die Elternabende immer verpasst hat.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,18,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Hjalmar</font> und  <font color=""blue"">Ben</font>. ","Du h&ouml;rst  <font color=""green"">Hjalmar</font> sagen:","Felix ist unschuldig, davon bin ich sicher.","<font color=""blue"">Ben</font> antwortet:","<i> K&ouml;nnte sein, aber Felix hat kein gutes Alibi.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,19,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Henry</font> und  <font color=""blue"">Axel</font>. ","Du h&ouml;rst  <font color=""green"">Henry</font> sagen:","Ich finde es sehr gut, dass Karolina das Dissertationsprojekt beendet hat.","<font color=""blue"">Axel</font> antwortet:","<i> Finde ich auch, aber Maike gef&auml;llt nicht, dass Karolina das Dissertationsprojekt aufgegeben hat.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,20,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Ingrid</font> und  <font color=""blue"">Camilla</font>. ","Du h&ouml;rst  <font color=""green"">Ingrid</font> sagen:",Wie hat Emily diesen Kurs jemals bestanden?,"<font color=""blue"">Camilla</font> antwortet:","<i> Einfach. Der Lehrer hat nicht herausgefunden, dass Emily die Labor-Treffen in letzter Zeit oft ausgelassen hat.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,21,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Jenny</font> und  <font color=""blue"">Cornelia</font>. ","Du h&ouml;rst  <font color=""green"">Jenny</font> sagen:",War die Party spass gestern? ,"<font color=""blue"">Cornelia</font> antwortet:",<i> Es war nicht fantastisch. Walter kann die Freunde seiner Frau nicht leiden.</i>,F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,22,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Johanna</font> und  <font color=""blue"">Ebba</font>. ","Du h&ouml;rst  <font color=""green"">Johanna</font> sagen:",War Per der einige seinem Team auf der Party?,"<font color=""blue"">Ebba</font> antwortet:","<i> Ja, aber das war kein Problem. Per mochte die Leute auf der Party sehr.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,23,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Inga</font> und  <font color=""blue"">Bo</font>. ","Du h&ouml;rst  <font color=""green"">Inga</font> sagen:",Ist Miriam nicht in den Yoga-Lehrer verliebt? ,"<font color=""blue"">Bo</font> antwortet:","<i>  Ja, und Vilhelmina auch. Gl&uuml;cklig hat Miriam nicht entdeckt, dass Vilhelmina sich schon mit dem Yoga-Lehrer getroffen hat.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,24,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Jasmine</font> und  <font color=""blue"">Cleo</font>. ","Du h&ouml;rst  <font color=""green"">Jasmine</font> sagen:",Hat Alexandra etwas &uuml;ber das Konzert gesagt?,"<font color=""blue"">Cleo</font> antwortet:",<i> Sicher. Alexandra hat das letzte Konzert sehr gefallen.</i>,F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,25,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Isak</font> und  <font color=""blue"">Kasper</font>. ","Du h&ouml;rst  <font color=""green"">Isak</font> sagen:",Warum hat Max in letzter Zeit Witze &uuml;ber Fredrik gemacht?,"<font color=""blue"">Kasper</font> antwortet:","<i> Max ist sicher davonn, dass Fredrik in die Yoga Lehrerin verliebt ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,26,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Johan</font> und  <font color=""blue"">Rutger</font>. ","Du h&ouml;rst  <font color=""green"">Johan</font> sagen:","Elias kan das Auto nicht fahren, das ist doch Quatsch!","<font color=""blue"">Rutger</font> antwortet:","<i> Doch ja! Elias kann das Auto, das seine Frau gekauft hat, nicht fahren.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,27,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Jan</font> und  <font color=""blue"">Clara</font>. ","Du h&ouml;rst  <font color=""green"">Jan</font> sagen:",Wie war das Restaurant gestern?,"<font color=""blue"">Clara</font> antwortet:","<i> Nicht schlecht, aber Kerstin konnte die Bedienung im Restaurant nicht leiden.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,28,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Jacob</font> und  <font color=""blue"">Christopher</font>. ","Du h&ouml;rst  <font color=""green"">Jacob</font> sagen:",Warum wurde Oliver aus der Firma entlassen?,"<font color=""blue"">Christopher</font> antwortet:",<i> Das ist ganz komisch: Oliver hat das Abendessen f&uuml;r die Gesch&auml;ftsf&uuml;hrer verpatzt.</i>,F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,29,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Idun</font> und  <font color=""blue"">Birgit</font>. ","Du h&ouml;rst  <font color=""green"">Idun</font> sagen:","Was findet Marie davon, dass Ernst dem Buchclub beigetreten ist?","<font color=""blue"">Birgit</font> antwortet:","<i> Lass es mich so sagen: Marie hasste nicht, dass Ernst dem Buchclub beigetreten ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,30,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Gun</font> und  <font color=""blue"">Annika</font>. ","Du h&ouml;rst  <font color=""green"">Gun</font> sagen:",Ist Lovis gl&uuml;cklig mit der Schule ihres Sohnes?,"<font color=""blue"">Annika</font> antwortet:","<i> Nein, gar nicht! Lovis akzeptiert nicht, dass David nicht in den besten Studiengang kommen wird.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,31,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Elvira</font> und  <font color=""blue"">Karlos</font>. ","Du h&ouml;rst  <font color=""green"">Elvira</font> sagen:","Der neue Lehrer spricht schlecht Deutsch, habe ich geh&ouml;rt.","<font color=""blue"">Karlos</font> antwortet:","<i> Ja, Lars beschwerte sich, dass Stefan den neuen Lehrer nicht verstehen konnte.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,32,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Ida</font> und  <font color=""blue"">Bianca</font>. ","Du h&ouml;rst  <font color=""green"">Liesel</font> sagen:",Ich habe Maria noch nie so w&uuml;tend gesehen!,"<font color=""blue"">Bianca</font> antwortet:","<i> Ja wirklich! Maria hasste, dass Liesel die erste Mannschaft verlassen hat.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,33,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Hilma</font> und  <font color=""blue"">Bengt</font>. ","Du h&ouml;rst  <font color=""green"">Hilma</font> sagen:","Ist Malte stolz, dass sie die das Finale erreicht hat?","<font color=""blue"">Bengt</font> antwortet:","<i> Eigentlich nicht. Malte ist sauer, dass Jakob den Backwettbewerb gewonnen hat.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,34,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Hans</font> und  <font color=""blue"">Arvid</font>. ","Du h&ouml;rst  <font color=""green"">Hans</font> sagen:","Was h&auml;ltst du von dem, was Luna gesagt hat?","<font color=""blue"">Arvid</font> antwortet:","<i> Luna gab nicht zu, dass Samuel die Nachbarn hasst.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,35,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Greta</font> und  <font color=""blue"">Anna</font>. ","Du h&ouml;rst  <font color=""green"">Greta</font> sagen:",Warum ist Laura so teilnahmslos in der Situation?,"<font color=""blue"">Anna</font> antwortet:","<i> Laura akzeptiert, dass Olivia den Wettkampf nie gewinnen wird.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,36,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Hugo</font> und  <font color=""blue"">Berit</font>. ","Du h&ouml;rst  <font color=""green"">Hugo</font> sagen:","Margareta f&uuml;hlt sich unsicher, wenn Leo f&aauml;rt, sagte sie.","<font color=""blue"">Berit</font> antwortet:","<i> Stimmt, also Margareta missf&auml;llt nicht, dass Leo durch die Fahrpr&uuml;fung gefallen ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,37,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Inger</font> und  <font color=""blue"">Britta</font>. ","Du h&ouml;rst  <font color=""green"">Inger</font> sagen:","Weisst du, warum Matilda so w&uuml;tend auf ihren Freund ist?","<font color=""blue"">Britta</font> antwortet:","<i> Scheinbar hat Matilda herausgefunden, dass Laura auf den Hochzeitsplaner stand.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,38,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Hanna</font> und  <font color=""blue"">Aron</font>. ","Du h&ouml;rst  <font color=""green"">Hanna</font> sagen:","Bist nu nerv&ouml;s, den Job zu bekommen?","<font color=""blue"">Aron</font> antwortet:","<i> Sehr nerv&ouml;s!  Der Manager gab zu, dass jemand anderes die Stelle auch haben will.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,39,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Freja</font> und  <font color=""blue"">Anette</font>. ","Du h&ouml;rst  <font color=""green"">Freja</font> sagen:",Hat Louis Kitty in den Club eingef&uuml;hrt?,"<font color=""blue"">Anette</font> antwortet:","<i> Ja, und es gef&auml;llt Louis, dass Kitty die Leute vom Club mag.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,40,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Gustav</font> und  <font color=""blue"">Arne</font>. ","Du h&ouml;rst  <font color=""green"">Gustav</font> sagen:","Weisst du, wass Lucas zur Polizei gesagt hat?","<font color=""blue"">Arne</font> antwortet:","<i> Nicht genau, aber Lucas hat nicht geleugnet, dass Caroline sich mit dem Buchhalter verschworen hat.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,41,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Ines</font> und  <font color=""blue"">Brigitta</font>. ","Du h&ouml;rst  <font color=""green"">Ines</font> sagen:",Warum war Martha gestern so w&uum;ltend?,"<font color=""blue"">Brigitta</font> antwortet:","<i> Marta entdeckte, dass Robin durch die Prüfung gefallen ist.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,42,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Joel</font> und  <font color=""blue"">Daniel</font>. ","Du h&ouml;rst  <font color=""green"">Joel</font> sagen:",Ist Samuel gl&uuml;cklig mit seinen Mitbewohnern?,"<font color=""blue"">Daniel</font> antwortet:","<i> Samuel hasst die Leute, mit denen er zusammen lebte, sehr.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,43,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Ivar</font> und  <font color=""blue"">Celine</font>. ","Du h&ouml;rst  <font color=""green"">Ivar</font> sagen:",Wie hat sich Sophia beim Familientreffen geschlagen?,"<font color=""blue"">Celine</font> antwortet:","<i> Gut, glaube ich. Maximilian merkte nicht, dass Sophia die Familientreffen nicht mag.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,44,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Gabriel</font> und  <font color=""blue"">Anita</font>. ","Du h&ouml;rst  <font color=""green"">Gabriel</font> sagen:",Ist Lara alleine zu Hause heute abend?,"<font color=""blue"">Anita</font> antwortet:","<i> Ja, und sie gef&auml;llt nicht, dass Andreas die Abendessen mit der Familie genie&szlig;t.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,,,Filler,45,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde,  <font color=""green"">Hedda</font> und  <font color=""blue"">Astrid</font>. ","Du h&ouml;rst  <font color=""green"">Hedda</font> sagen:","Ist Jon mit jemanden zusammen, weisst du?","<font color=""blue"">Astrid</font> antwortet:","<i> Nicht sicher, aber es war klar, dass Jon auf das M&auml;dchen aus dem Kunstunterricht steht.</i>",F&uuml;r mich h&ouml;rt sich dieser Satz: 
